Date,prophet,arima,lstm
2026-01-01,3924.7497864147267,2062.917974901709,3862.7915
2026-01-02,3926.7948564021253,2062.892996581988,3749.8682
2026-01-05,3927.469025017476,2063.325717264983,3619.5764
2026-01-06,3928.9585275663044,2063.919181519975,3487.9573
2026-01-07,3931.435808569334,2064.5019086477255,3364.312
2026-01-08,3930.088125787601,2064.419168318751,3253.0073
2026-01-09,3932.2279123875837,2064.967247112501,3155.701
2026-01-12,3934.415167739805,2064.9565986478506,3072.507
2026-01-13,3936.787015304785,2066.0268783321453,3002.6604
2026-01-14,3940.309110699615,2066.073122169432,2944.9163
2026-01-15,3940.147156818993,2066.4547501810307,2897.7932
2026-01-16,3943.5889724463127,2066.561926914704,2859.7283
2026-01-19,3950.1013544535363,2066.9694729435114,2829.1797
2026-01-20,3953.9557094462357,2067.642469645654,2804.6921
2026-01-21,3958.930874413939,2068.0662577007342,2784.9417
2026-01-22,3960.163967049828,2068.0896152474174,2768.7593
2026-01-23,3964.9160902550475,2068.5369493708786,2755.146
2026-01-26,3974.6248153438337,2068.6215371102685,2743.2712
2026-01-27,3979.2416212352614,2069.6011652202815,2732.4734
2026-01-28,3984.8086249406656,2069.7338228309536,2722.243
2026-01-29,3986.4579397463413,2070.0335913369227,2712.2102
2026-01-30,3991.4500811395956,2070.2184890407216,2702.1265
2026-02-02,4000.8794703326967,2070.552245165188,2691.8435
2026-02-03,4005.108650186121,2071.2953021201,2681.2952
2026-02-04,4010.1683289670946,2071.6525705374424,2670.4758
2026-02-05,4011.2110164564447,2071.7390839136265,2659.426
2026-02-06,4015.519352524674,2072.126455183743,2648.2148
2026-02-09,4022.66744697881,2072.2679742206783,2636.9285
2026-02-10,4026.1365676112864,2073.193549311185,2625.6587
2026-02-11,4030.47224034777,2073.37752718272,2614.4963
2026-02-12,4030.8456767983803,2073.6285700351755,2603.524
2026-02-13,4034.5556351097816,2073.8597299641697,2592.8142
2026-02-16,4040.4487304749537,2074.1495627479685,2582.4258
2026-02-17,4043.700873182117,2074.934322406314,2572.4038
2026-02-18,4047.922135641248,2075.2519964884436,2562.7798
2026-02-19,4048.279750505626,2075.376102424589,2553.573
2026-02-20,4052.0653841728235,2075.727781706006,2544.7908
2026-02-23,4058.624610374649,2075.903188247773,2536.4324
2026-02-24,4062.1988330141703,2076.7965890878227,2528.488
2026-02-25,4066.7660733987673,2077.011114572633,2520.9429
2026-02-26,4067.477351493727,2077.2331542109173,2513.778
2026-02-27,4071.60859883029,2077.491851035337,2506.9714
2026-03-02,4079.018038151926,2077.7555391096143,2500.5002
2026-03-03,4082.777179897324,2078.565121676475,2494.3403
2026-03-04,4087.468300983481,2078.859227824654,2488.4678
2026-03-05,4088.239763802464,2079.0057101680754,2482.862
2026-03-06,4092.368014719485,2079.336144328744,2477.5015
2026-03-09,4099.4417623295685,2079.5317218993114,2472.367
2026-03-10,4103.012194306518,2080.405971499522,2467.4414
2026-03-11,4107.498524277783,2080.638679992795,2462.7102
2026-03-12,4108.065405117898,2080.8434559030106,2458.1592
2026-03-13,4112.006782124117,2081.1185436512665,2453.7766
2026-03-16,4118.806674445308,2081.3666694794792,2449.5522
2026-03-17,4122.439018769493,2082.1910275101886,2445.478
2026-03-18,4127.089190922321,2082.4711051992986,2441.5454
2026-03-19,4127.933721160498,2082.630906763414,2437.7485
2026-03-20,4132.27548934371,2082.9486950847204,2434.0806
2026-03-23,4141.049991237643,2083.156279157534,2430.5376
2026-03-24,4145.5914039181625,2084.0191292695763,2427.1135
2026-03-25,4151.2625685875555,2084.262660925818,2423.805
2026-03-26,4153.225977872649,2084.4571608609267,2420.6077
2026-03-27,4158.7667981042705,2084.7420050606656,2417.518
2026-03-30,4171.395306885366,2084.9808676954044,2414.5322
2026-03-31,4177.220194426022,2085.814020599278,2411.647
2026-04-01,4184.126963893467,2086.085748058611,2408.8586
2026-04-02,4187.248891796999,2086.2534776890016,2406.1646
2026-04-03,4193.842403257624,2086.563738764167,2403.561
2026-04-06,4208.729464194654,2086.778469527296,2401.045
2026-04-07,4214.931756636698,2087.634534265045,2398.6128
2026-04-08,4221.9989170313265,2087.884508246652,2396.2627
2026-04-09,4225.052866380354,2088.0728915617597,2393.9907
2026-04-10,4231.343377735573,2088.363543142858,2391.7947
2026-04-13,4243.919622708459,2088.596892000667,2389.6714
2026-04-14,4248.9123303449915,2089.4352799208327,2387.6184
2026-04-15,4254.576343538121,2089.702037031178,2385.633
2026-04-16,4256.055870835496,2089.874485724066,2383.713
2026-04-17,4260.626752764319,2090.1802663189046,2381.8555
2026-04-20,4267.47723881042,2090.3992510422145,2380.0586
2026-04-21,4270.483424431563,2091.2512768877236,2378.3198
2026-04-22,4274.179517384459,2091.5050855668433,2376.637
2026-04-23,4273.74381100631,2091.68982805567,2375.0085
2026-04-24,4276.484809322287,2091.983936393388,2373.4326
2026-04-27,4278.647670079745,2092.2140032582092,2371.9067
2026-04-28,4280.4385725098,2093.0555072432758,2370.4294
2026-04-29,4283.122781340302,2093.3193058279626,2368.999
2026-04-30,4281.889540776468,2093.4945634719966,2367.614
2026-05-01,4284.053387376452,2093.7976771281465,2366.2725
2026-05-04,4285.793355842194,2094.0191939574274,2364.9731
2026-05-05,4287.851282035114,2094.868815712931,2363.715
2026-05-06,4290.98167285136,2095.1249069382093,2362.496
